,cap.english,cap.universal,categories.content,categories.friend,categories.network,categories.sentiment,categories.temporal,categories.user,display_scores.content,display_scores.english,display_scores.friend,display_scores.network,display_scores.sentiment,display_scores.temporal,display_scores.universal,display_scores.user,scores.english,scores.universal,user.id_str,list2,bot
1620,0.021603217,0.011448498,0.767062065,0.257367141,0.281436837,0.576660718,0.642166361,0.034824478,3.8,1.3,1.3,1.4,2.9,3.2,0.9,0.2,0.269102246,0.182079031,2948635943,Random,FALSE
1621,0.003456538,0.005778301,0.075375337,0.08852387,0.059581537,0.059858869,0.088777716,0.072487975,0.4,0.5,0.4,0.3,0.3,0.4,0.6,0.4,0.092866954,0.119569867,865978805235716000,Random,FALSE
1622,0.001261693,0.002013937,0.058082395,0.061024877,0.175873829,0.116958291,0.06293923,0.046849714,0.3,0.1,0.3,0.9,0.6,0.3,0.2,0.2,0.025471598,0.037980136,723978794458058000,Random,FALSE
1623,0.001828421,0.006431293,0.047633404,0.168637131,0.050156812,0.0384138,0.083889305,0.046849714,0.2,0.2,0.8,0.3,0.2,0.4,0.6,0.2,0.049183848,0.128515834,743863048608194000,Random,FALSE
1624,0.024702039,0.016452305,0.536184833,0.356398198,0.257541174,0.828393199,0.899931538,0.538941032,2.7,1.4,1.8,1.3,4.1,4.5,1.1,2.7,0.286212062,0.221795688,968509451727650000,Random,FALSE
1625,0.003456538,0.004725362,0.303217448,0.17823307,0.066761329,0.204946688,0.074839956,0.077859288,1.5,0.5,0.9,0.3,1,0.4,0.5,0.4,0.092866954,0.103285735,868955407523381000,Random,FALSE
1626,0.004268306,0.001935846,0.140754288,0.094076993,0.129106336,0.334085683,0.153323011,0.103156614,0.7,0.5,0.5,0.6,1.7,0.8,0.2,0.5,0.108277007,0.035082643,462380639,Random,FALSE
1627,0.003831756,0.003353677,0.303217448,0.23261518,0.109970068,0.379894796,0.53764464,0.164984352,1.5,0.5,1.2,0.5,1.9,2.7,0.4,0.8,0.100309357,0.076513107,97722956,Random,FALSE
1628,0.002234495,0.005778301,0.103588479,0.188251402,0.1160555,0.204946688,0.370283068,0.110529641,0.5,0.3,0.9,0.6,1,1.9,0.6,0.6,0.062633878,0.119569867,4723655232,Random,FALSE
1629,0.007724055,0.018599227,0.247652714,0.244779764,0.088351497,0.174303676,0.26368444,0.187396141,1.2,0.8,1.2,0.4,0.9,1.3,1.2,0.9,0.156855103,0.236336911,696387522667020000,Random,FALSE
